@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute outputs-1 {0,1,2,3,4,5}

@data
1,'2018/07/12 22:06:04:538',1,374.068665,412.344757,55.599716,408.656097,368.952362,71.335114,359.795776,405.150848,46.677734,333.723511,395.599335,45.330727,313.549652,388.264496,47.056263,1
2,'2018/07/12 22:06:04:592',1,374.429565,412.664001,55.624477,409.013336,368.937469,71.4328,360.235962,405.427826,46.715996,334.026245,396.049622,45.36483,314.09845,388.732269,47.110687,1
3,'2018/07/12 22:06:04:650',1,376.349579,414.247131,55.636902,410.268005,370.276031,71.486008,362.010803,406.950073,46.724571,335.442993,397.898926,45.382294,315.527832,390.729919,47.159019,1
4,'2018/07/12 22:06:04:707',1,378.672821,417.607178,55.536514,412.088074,373.184723,71.391846,364.35083,409.981567,46.603439,337.485931,401.412903,45.285072,317.371887,394.343811,47.087421,1
5,'2018/07/12 22:06:04:765',1,379.014893,420.646637,55.30407,412.842743,375.802307,71.223045,365.130402,412.556946,46.401531,338.228912,404.695923,45.143948,317.75415,397.539551,46.961433,1
6,'2018/07/12 22:06:04:823',1,379.282349,423.020752,55.246468,413.235138,377.895996,71.191917,365.349976,414.637848,46.35112,338.453308,407.57959,45.165314,317.458313,400.379608,46.989353,1
7,'2018/07/12 22:06:04:878',1,379.000916,425.629303,55.179943,413.012726,379.937836,71.110321,365.170166,416.991241,46.279533,338.243042,410.636322,45.162952,316.999207,403.104553,46.934242,1
8,'2018/07/12 22:06:04:934',1,378.485931,427.117004,55.194328,413.042542,380.787231,71.094116,364.68512,418.464844,46.30415,337.778809,412.292023,45.204929,316.570282,404.477142,46.943382,1
9,'2018/07/12 22:06:04:991',1,378.11673,427.358215,55.244225,413.133606,380.68634,71.18335,364.281464,418.789368,46.358971,337.394867,412.666138,45.264061,316.215973,404.69635,46.989998,1
10,'2018/07/12 22:06:05:047',1,377.814941,425.738464,55.332668,414.101898,379.012909,71.329582,363.854492,417.077881,46.442955,337.021118,410.880829,45.363041,316.002533,402.799866,47.09346,1
11,'2018/07/12 22:06:05:104',1,378.362457,421.147034,55.519478,414.775787,374.216614,71.568466,364.381195,412.449768,46.629799,337.396332,406.328247,45.551605,316.354248,398.29895,47.288822,1
12,'2018/07/12 22:06:05:158',1,378.121155,416.857697,55.587936,414.477295,369.603149,71.635437,364.364044,408.285828,46.675018,337.322632,402.211212,45.586288,316.22937,394.16803,47.308777,1
13,'2018/07/12 22:06:05:216',1,377.858887,412.71759,55.653355,413.967773,365.123047,71.736267,364.579681,404.461914,46.72208,337.424774,398.482086,45.612415,316.240112,390.477692,47.320736,1
14,'2018/07/12 22:06:05:271',1,377.681854,410.432465,55.687408,414.248688,361.666321,71.772865,364.838348,402.660767,46.758404,337.602905,396.723175,45.623993,316.330505,388.663666,47.296387,1
15,'2018/07/12 22:06:05:323',1,378.187836,408.986053,55.649574,414.763855,359.76889,71.77565,365.395081,401.285797,46.720863,338.049744,395.362213,45.58263,316.765717,387.36084,47.259811,1
16,'2018/07/12 22:06:05:380',1,378.384857,408.600098,55.554367,415.269379,359.189484,71.797318,366.146515,400.712036,46.681187,338.653839,394.964691,45.568401,317.329529,386.995178,47.250557,1
17,'2018/07/12 22:06:05:437',1,379.303955,409.651581,55.478249,416.126312,360.271362,71.869202,367.442139,401.346985,46.668125,339.792419,395.813141,45.588062,318.301971,387.991272,47.283611,1
18,'2018/07/12 22:06:05:497',1,381.246643,413.534851,55.348854,417.413971,364.957947,72.009766,369.40448,404.449097,46.60886,341.54718,399.094299,45.570667,319.74176,391.63266,47.313507,1
19,'2018/07/12 22:06:05:552',1,381.631317,416.930664,55.279327,417.708069,368.291992,71.963997,369.785034,407.700104,46.54092,341.903076,402.416077,45.51202,319.938782,395.029816,47.259487,1
20,'2018/07/12 22:06:05:602',1,381.848999,420.251556,55.237999,417.912781,371.420746,71.919434,369.881622,410.881195,46.49427,341.932434,405.744263,45.480019,319.666199,398.515137,47.246384,1
21,'2018/07/12 22:06:05:660',1,380.735107,422.92865,55.065269,416.848206,374.450165,71.851479,369.125763,413.202698,46.336308,341.225525,408.110168,45.333229,318.71698,401.010223,47.116928,1
