@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute outputs-1 numeric

@data
1,'2018/07/12 22:23:53:387',1,398.588867,413.819,58.732494,406.289978,414.971008,54.361679,393.667603,420.36438,53.678497,366.0849,412.454224,51.520634,345.670746,401.927948,52.578835,0
2,'2018/07/12 22:23:53:441',1,397.491516,414.212769,58.680698,405.176086,415.352112,54.318409,392.556824,420.754913,53.599785,365.008759,412.842346,51.484905,344.579742,402.364838,52.543926,0
3,'2018/07/12 22:23:53:499',1,396.914612,414.947327,58.573914,404.096069,415.838013,54.201626,391.427094,421.210541,53.49514,363.705994,413.155823,51.440918,343.44165,402.733215,52.552292,0
4,'2018/07/12 22:23:53:554',1,397.160217,415.866943,58.541534,403.912872,416.571228,54.167763,391.238678,421.962585,53.484077,363.372131,413.720642,51.45089,343.266754,403.304749,52.593628,0
5,'2018/07/12 22:23:53:611',1,401.778778,416.138184,58.776794,408.440765,416.250092,54.409668,396.225098,421.868713,53.735687,368.30835,414.882416,52.16674,347.019287,403.628845,52.89727,0
6,'2018/07/12 22:23:53:667',1,405.344666,415.825775,58.542206,412.288788,415.87326,54.236603,400.39743,421.615784,53.52018,372.49881,416.286316,52.161598,350.567108,405.314911,52.930256,0
7,'2018/07/12 22:23:53:723',1,406.601593,412.970856,58.924007,415.688049,412.693054,54.785465,404.188416,418.57605,54.043865,376.018494,413.539612,52.464897,353.573517,403.099457,53.308762,0
8,'2018/07/12 22:23:53:780',1,403.976227,413.175598,58.859123,413.453461,413.087341,54.733574,401.730255,418.916809,54.044899,373.660156,413.670502,52.456249,351.851074,402.942505,53.231712,0
9,'2018/07/12 22:23:53:838',1,401.526825,413.218994,58.819542,410.99408,413.446198,54.685749,398.941132,419.131592,54.00053,371.114258,413.599487,52.444145,350.047729,402.522125,53.167267,0
10,'2018/07/12 22:23:53:893',1,400.422699,413.286072,58.733749,409.67218,413.75412,54.587456,397.411163,419.349701,53.922886,369.781677,413.6427,52.379044,349.204132,402.310242,53.05077,0
11,'2018/07/12 22:23:53:951',1,400.050446,413.980377,58.569115,408.972168,414.478149,54.409843,396.613983,420.005737,53.75034,369.065521,414.132568,52.23925,348.835052,402.628357,52.885624,0
12,'2018/07/12 22:23:54:005',1,399.77948,415.368164,58.371346,408.530945,415.845123,54.199772,396.117249,421.327332,53.542805,368.617004,415.306061,52.053268,348.637299,403.694397,52.697926,0
13,'2018/07/12 22:23:54:061',1,399.453949,416.461456,58.252125,408.101318,416.903015,54.074326,395.686646,422.34436,53.404011,368.196045,416.233368,51.931042,348.337799,404.562744,52.572479,0
14,'2018/07/12 22:23:54:114',1,399.073151,416.737457,58.260742,407.552155,417.161194,54.078243,395.127594,422.511841,53.400452,367.614807,416.365051,51.934448,347.826569,404.650238,52.57428,0
15,'2018/07/12 22:23:54:171',1,398.903351,416.735748,58.289391,407.038422,417.131073,54.093323,394.57901,422.399841,53.41452,367.045135,416.183441,51.966171,347.38266,404.413879,52.616005,0
16,'2018/07/12 22:23:54:225',1,399.056244,416.484406,58.306278,406.970673,416.911682,54.097145,394.504181,422.118561,53.416039,366.947083,415.862915,51.977581,347.371429,404.051147,52.634037,0
17,'2018/07/12 22:23:54:282',1,399.168396,415.92215,58.366577,406.99353,416.504059,54.13953,394.544342,421.675385,53.440712,366.976807,415.467896,52.008995,347.418762,403.63562,52.656239,0
18,'2018/07/12 22:23:54:338',1,402.939819,413.232269,58.423538,410.501007,413.421692,54.150349,398.809143,418.891174,53.435825,370.445313,413.201111,51.849857,349.583374,402.419617,52.77253,0
19,'2018/07/12 22:23:54:393',1,401.256134,412.400543,58.531303,408.832062,412.708801,54.240459,397.147369,418.167847,53.536324,368.625122,411.983154,51.712349,348.123657,401.479492,52.808048,0
20,'2018/07/12 22:23:54:448',1,398.642456,414.014008,58.657837,406.149902,414.750854,54.37328,394.194885,420.084167,53.692787,366.673859,414.726044,52.561726,346.227631,402.523773,52.853382,0
21,'2018/07/12 22:23:54:503',1,397.925446,415.17865,58.617783,405.08902,416.19696,54.36636,393.17981,421.586731,53.740738,365.843567,416.337311,52.901489,345.407928,403.266663,52.787895,0
22,'2018/07/12 22:23:54:559',1,397.729034,415.833557,58.547211,404.714355,417.035828,54.350891,392.891693,422.414124,53.742592,364.646362,415.279144,52.219292,345.053833,403.655182,52.734123,0
23,'2018/07/12 22:23:54:615',1,397.540344,416.469788,58.491684,404.380188,417.969025,54.3381,392.636902,423.400238,53.778324,363.96048,415.298706,51.867912,344.773071,404.130798,52.614864,0
24,'2018/07/12 22:23:54:669',1,397.697632,416.818298,58.473106,404.397675,418.508331,54.335709,392.742615,423.964417,53.795235,363.894806,415.481323,51.726128,344.824463,404.494202,52.55167,0
25,'2018/07/12 22:23:57:205',2,416.519012,408.705536,59.25663,402.263092,415.210297,56.181503,389.498688,420.322144,55.732697,358.604309,408.562378,51.67252,336.4823,398.243164,53.171524,0
26,'2018/07/12 22:23:57:262',2,417.850159,407.701019,59.319489,404.029572,414.107208,56.190639,391.490112,419.30011,55.74041,360.366028,407.895172,52.051884,337.692047,397.207703,53.173561,0
27,'2018/07/12 22:23:57:320',2,421.386169,406.168396,59.115074,410.860596,412.557983,55.882088,399.300934,418.126038,55.329811,366.172729,406.842896,51.633564,341.982819,398.148621,53.086761,0
28,'2018/07/12 22:23:57:374',2,418.950745,406.268494,59.121563,410.461609,412.546814,55.884312,399.18869,418.22345,55.31226,365.89798,407.349915,51.653366,341.139008,399.002533,53.071423,0
29,'2018/07/12 22:23:57:430',2,415.251068,410.270111,59.300865,406.325195,416.43924,56.069527,394.677399,421.993774,55.566467,362.16861,410.798462,51.860474,338.169556,401.904663,53.300446,0
30,'2018/07/12 22:23:57:489',2,414.547302,418.14679,59.213478,404.185059,423.697144,55.981255,391.969574,428.981293,55.546307,360.462524,416.166504,51.84388,337.932922,406.701721,53.37545,0
31,'2018/07/12 22:23:57:544',2,417.919098,421.567139,59.033131,406.710999,427.145691,55.904827,394.312683,432.31311,55.474567,362.77124,418.622498,51.686386,340.631653,409.169952,53.278862,0
32,'2018/07/12 22:23:57:597',2,422.360107,422.667297,58.91531,409.610748,428.382019,55.872108,397.048828,433.44162,55.407692,365.177429,418.795074,51.502563,343.119049,409.452087,53.132366,0
33,'2018/07/12 22:23:57:651',2,425.764648,422.621399,58.951614,412.6698,428.442291,55.971554,399.927948,433.343628,55.462933,367.667542,417.413025,51.41526,345.887299,408.585632,53.184578,0
34,'2018/07/12 22:23:57:708',2,425.351807,420.877747,59.126656,412.290009,426.905518,56.152493,399.396881,431.494873,55.564369,367.216278,414.662903,51.409462,345.30896,405.972504,53.191566,0
35,'2018/07/12 22:23:57:767',2,421.641479,415.882172,59.529816,408.311066,422.388123,56.418259,395.369202,426.857117,55.779083,363.586945,409.404388,51.514244,341.4953,400.884766,53.284462,0
36,'2018/07/12 22:23:57:823',2,416.769684,412.288696,59.724239,403.791718,418.983276,56.369267,391.082062,423.570343,55.732895,359.5737,405.723511,51.57151,337.054413,397.361298,53.311592,0
37,'2018/07/12 22:23:57:881',2,412.083527,410.719482,59.751778,399.235748,417.332184,56.29071,386.809052,422.239166,55.751801,355.118408,403.145935,51.432171,332.167969,395.08136,53.150826,0
38,'2018/07/12 22:23:57:938',2,407.97934,411.023285,59.689476,395.720398,417.51712,56.218971,383.442688,422.511688,55.716648,350.882416,401.733276,51.370586,327.725708,394.185577,53.116177,0
39,'2018/07/12 22:23:57:998',2,402.641998,413.903473,59.52327,391.901733,419.602509,56.086452,379.723297,424.660706,55.540646,346.893097,401.842041,51.390667,323.175659,394.745819,53.117867,0
40,'2018/07/12 22:23:58:054',2,400.072998,416.8013,59.229198,390.733032,421.595215,55.911427,378.635071,426.757294,55.379303,345.698334,401.81308,51.36166,321.574402,395.116455,53.057503,0
41,'2018/07/12 22:23:58:111',2,402.55777,419.477814,58.878685,393.077271,423.83252,55.582474,380.937866,428.999146,55.054008,348.150909,402.028717,51.2672,323.645203,395.551636,52.968662,0
42,'2018/07/12 22:23:58:168',2,409.141174,419.965759,58.682053,399.33783,424.430847,55.411129,387.202332,429.616699,54.898514,353.909882,401.943481,51.202488,329.08432,395.600616,52.929714,0
43,'2018/07/12 22:23:58:226',2,415.591675,420.46524,58.622826,406.189087,425.133667,55.444172,393.949097,430.15686,54.895939,360.394531,402.10968,51.223309,335.159485,395.853271,52.952751,0
44,'2018/07/12 22:23:58:283',2,419.170715,420.571716,58.742764,410.293915,425.197571,55.669338,397.729248,430.05835,55.05386,364.005707,401.799561,51.469307,338.413147,395.626251,53.152683,0
45,'2018/07/12 22:23:58:342',2,419.149841,419.325531,59.009506,411.021454,424.000122,55.97538,398.424225,428.883667,55.340824,364.342438,400.797333,51.753647,338.31308,394.738678,53.379093,0
46,'2018/07/12 22:23:58:397',2,415.038086,417.239899,59.353054,407.614807,421.920441,56.343697,395.059998,426.849121,55.70657,360.63916,398.977722,52.034004,334.210785,393.080994,53.607635,0
47,'2018/07/12 22:23:58:454',2,409.799744,415.893311,59.550735,403.107422,420.370636,56.582157,390.43573,425.316742,55.924126,355.857269,397.549988,52.148937,329.109253,391.790771,53.676922,0
48,'2018/07/12 22:23:58:509',2,406.2742,415.233246,59.598473,400.069,419.5578,56.679237,387.260681,424.52063,55.996155,352.681061,396.787048,52.156853,325.866028,391.019989,53.653839,0
49,'2018/07/12 22:23:58:564',2,405.469757,415.135071,59.502831,399.527496,419.178711,56.586594,386.813477,424.237579,55.941246,351.954407,396.822205,52.147434,325.158081,390.913116,53.565971,0
50,'2018/07/12 22:23:58:622',2,406.507416,416.299622,59.150494,400.472015,419.848572,56.188637,388.027954,425.043457,55.654259,352.64624,397.951721,51.97567,325.805573,391.876648,53.337845,0
