@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric
@attribute outputs-8 numeric
@attribute outputs-9 numeric

@data
1,'2018/07/04 21:34:08:883',1,33,0,0,0,232,0,0,0,1760,0.06,0.99,1
2,'2018/07/04 21:34:08:942',1,27,0,0,0,232,0,0,0,1760,0.06,0.99,1
3,'2018/07/04 21:34:08:960',1,25,0,0,0,232,0,0,0,1760,0.06,0.99,1
4,'2018/07/04 21:34:08:976',1,23,0,0,0,232,0,0,0,1760,0.06,0.99,1
5,'2018/07/04 21:34:08:992',1,21,0,0,0,232,0,0,0,1760,0.06,0.99,1
6,'2018/07/04 21:34:09:013',1,18,0,0,0,232,0,0,0,1760,0.06,0.99,1
7,'2018/07/04 21:34:09:030',1,16,0,0,0,232,0,0,0,1760,0.06,0.99,1
8,'2018/07/04 21:34:09:044',1,14,0,0,0,232,0,0,0,1760,0.06,0.99,1
9,'2018/07/04 21:34:09:063',1,11,0,0,0,232,0,0,0,1760,0.06,0.99,1
10,'2018/07/04 21:34:09:094',1,8,0,0,0,232,0,0,0,1760,0.06,0.99,1
11,'2018/07/04 21:34:09:095',1,6,0,0,0,232,0,0,0,1760,0.06,0.99,1
12,'2018/07/04 21:34:09:126',1,3,0,0,0,232,0,0,0,1760,0.06,0.99,1
13,'2018/07/04 21:34:09:131',1,1,0,0,0,232,0,0,0,1760,0.06,0.99,1
14,'2018/07/04 21:34:09:147',1,0,0,0,0,232,0,0,0,1760,0.06,0.99,1
15,'2018/07/04 21:34:09:170',1,0,0,0,0,232,0,0,0,1760,0.06,0.99,1
16,'2018/07/04 21:34:10:241',1,0,23,0,0,232,0,0,0,1760,0.06,0.99,1
17,'2018/07/04 21:34:10:242',1,0,18,0,0,232,0,0,0,1760,0.06,0.99,1
18,'2018/07/04 21:34:10:242',1,0,11,0,0,232,0,0,0,1760,0.06,0.99,1
19,'2018/07/04 21:34:10:243',1,0,6,0,0,232,0,0,0,1760,0.06,0.99,1
20,'2018/07/04 21:34:10:243',1,0,0,0,0,232,0,0,0,1760,0.06,0.99,1
21,'2018/07/04 21:34:10:248',1,0,0,0,0,232,0,0,0,1760,0.06,0.99,1
22,'2018/07/04 21:34:10:264',1,0,0,0,0,232,0,0,0,1760,0.06,0.99,1
23,'2018/07/04 21:34:10:752',1,0,0,25,0,232,0,0,0,1760,0.06,0.99,1
24,'2018/07/04 21:34:10:759',1,0,0,24,0,232,0,0,0,1760,0.06,0.99,1
25,'2018/07/04 21:34:10:780',1,0,0,18,0,232,0,0,0,1760,0.06,0.99,1
26,'2018/07/04 21:34:10:797',1,0,0,11,0,232,0,0,0,1760,0.06,0.99,1
27,'2018/07/04 21:34:10:812',1,0,0,4,0,232,0,0,0,1760,0.06,0.99,1
28,'2018/07/04 21:34:10:828',1,0,0,0,0,232,0,0,0,1760,0.06,0.99,1
29,'2018/07/04 21:34:10:845',1,0,0,0,0,232,0,0,0,1760,0.06,0.99,1
30,'2018/07/04 21:34:10:892',1,0,0,0,0,232,0,0,0,1760,0.06,0.99,1
31,'2018/07/04 21:34:19:605',2,22,0,0,0,232,0,0,0,1760,0.06,0.99,1
32,'2018/07/04 21:34:19:693',2,18,0,0,0,232,0,0,0,1760,0.06,0.99,1
33,'2018/07/04 21:34:19:701',2,14,0,0,0,232,0,0,0,1760,0.06,0.99,1
34,'2018/07/04 21:34:19:710',2,9,0,0,0,232,0,0,0,1760,0.06,0.99,1
35,'2018/07/04 21:34:19:725',2,3,0,0,0,232,0,0,0,1760,0.06,0.99,1
36,'2018/07/04 21:34:19:742',2,0,0,0,0,232,0,0,0,1760,0.06,0.99,1
37,'2018/07/04 21:34:19:758',2,0,0,0,0,232,0,0,0,1760,0.06,0.99,1
38,'2018/07/04 21:34:19:774',2,0,0,0,0,232,0,0,0,1760,0.06,0.99,1
39,'2018/07/04 21:34:19:797',2,0,0,0,0,232,0,0,0,1760,0.06,0.99,1
40,'2018/07/04 21:34:19:808',2,0,0,0,0,232,0,0,0,1760,0.06,0.99,1
41,'2018/07/04 21:34:20:229',2,0,23,0,0,232,0,0,0,1760,0.06,0.99,1
42,'2018/07/04 21:34:20:246',2,0,20,0,0,232,0,0,0,1760,0.06,0.99,1
43,'2018/07/04 21:34:20:263',2,0,17,0,0,232,0,0,0,1760,0.06,0.99,1
44,'2018/07/04 21:34:20:277',2,0,15,0,0,232,0,0,0,1760,0.06,0.99,1
45,'2018/07/04 21:34:20:294',2,0,12,0,0,232,0,0,0,1760,0.06,0.99,1
46,'2018/07/04 21:34:20:315',2,0,9,0,0,232,0,0,0,1760,0.06,0.99,1
47,'2018/07/04 21:34:20:332',2,0,5,0,0,232,0,0,0,1760,0.06,0.99,1
48,'2018/07/04 21:34:20:341',2,0,1,0,0,232,0,0,0,1760,0.06,0.99,1
49,'2018/07/04 21:34:20:360',2,0,0,0,0,232,0,0,0,1760,0.06,0.99,1
50,'2018/07/04 21:34:20:385',2,0,0,0,0,232,0,0,0,1760,0.06,0.99,1
51,'2018/07/04 21:34:20:399',2,0,0,0,0,232,0,0,0,1760,0.06,0.99,1
52,'2018/07/04 21:34:20:797',2,0,0,26,0,232,0,0,0,1760,0.06,0.99,1
53,'2018/07/04 21:34:20:821',2,0,0,22,0,232,0,0,0,1760,0.06,0.99,1
54,'2018/07/04 21:34:20:841',2,0,0,18,0,232,0,0,0,1760,0.06,0.99,1
55,'2018/07/04 21:34:20:852',2,0,0,14,0,232,0,0,0,1760,0.06,0.99,1
56,'2018/07/04 21:34:20:870',2,0,0,8,0,232,0,0,0,1760,0.06,0.99,1
57,'2018/07/04 21:34:20:894',2,0,0,2,0,232,0,0,0,1760,0.06,0.99,1
58,'2018/07/04 21:34:25:072',3,32,0,2,0,232,0,0,0,1760,0.06,0.99,1
59,'2018/07/04 21:34:25:073',3,28,0,2,0,232,0,0,0,1760,0.06,0.99,1
60,'2018/07/04 21:34:25:073',3,25,0,2,0,232,0,0,0,1760,0.06,0.99,1
61,'2018/07/04 21:34:25:073',3,22,0,2,0,232,0,0,0,1760,0.06,0.99,1
62,'2018/07/04 21:34:25:074',3,18,0,2,0,232,0,0,0,1760,0.06,0.99,1
63,'2018/07/04 21:34:25:108',3,12,0,2,0,232,0,0,0,1760,0.06,0.99,1
64,'2018/07/04 21:34:25:116',3,7,0,2,0,232,0,0,0,1760,0.06,0.99,1
65,'2018/07/04 21:34:25:128',3,0,0,2,0,232,0,0,0,1760,0.06,0.99,1
66,'2018/07/04 21:34:25:141',3,0,0,2,0,232,0,0,0,1760,0.06,0.99,1
67,'2018/07/04 21:34:25:161',3,0,0,2,0,232,0,0,0,1760,0.06,0.99,1
68,'2018/07/04 21:34:25:180',3,0,0,2,0,232,0,0,0,1760,0.06,0.99,1
69,'2018/07/04 21:34:25:604',3,0,24,2,0,232,0,0,0,1760,0.06,0.99,1
70,'2018/07/04 21:34:25:608',3,0,23,2,0,232,0,0,0,1760,0.06,0.99,1
71,'2018/07/04 21:34:25:608',3,0,18,2,0,232,0,0,0,1760,0.06,0.99,1
72,'2018/07/04 21:34:25:608',3,0,15,2,0,232,0,0,0,1760,0.06,0.99,1
73,'2018/07/04 21:34:25:608',3,0,9,2,0,232,0,0,0,1760,0.06,0.99,1
74,'2018/07/04 21:34:25:610',3,0,3,2,0,232,0,0,0,1760,0.06,0.99,1
